model,train_schedule,target_schedule,config,window,n,mae,rmse,mape,r2,signed_bias,max_abs_error,endpoint_abs_diff,model_baseline,config_baseline,n_baseline,mae_baseline,rmse_baseline,mape_baseline,r2_baseline,signed_bias_baseline,max_abs_error_baseline,endpoint_abs_diff_baseline,mae_improvement,rmse_improvement,relative_mae_improvement_pct
sign_flip,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_30000_33906,1954,0.06480024861161143,0.08170591162153015,0.02432637659217138,-2.849159248211016,0.017015662863473134,0.2920740817682006,0.08611130749361395,momentum_baseline,none,1954,0.033630779184426494,0.04225317405807368,0.01263279591642764,-0.029384434072413423,0.011870626781285157,0.1463478837697627,0.04566822982802332,-0.03116946942718494,-0.03945273756345647,-92.6813775448256
sign_flip,cosine,wsd,spline_s0.01_shrink1_clip0.15,last_512_sampled,512,0.06461641924980974,0.08071355369823646,0.024334021605561244,-2.983110317463599,0.005711057164825623,0.2598924653189374,0.08611130749361395,momentum_baseline,none,512,0.032466789435841165,0.04040861527782263,0.012218656617885779,0.0016626177046190627,0.0014885610279139413,0.13557383403272016,0.04566822982802332,-0.03214962981396857,-0.040304938420413834,-99.02312600850372
sign_flip,cosine,wsd,spline_s0.01_shrink1_clip0.15,last_2048_sampled,2048,0.06476181567969187,0.08179595825381364,0.024304492638836193,-2.8141045756134924,0.01778922080637777,0.30723486821287116,0.08611130749361395,momentum_baseline,none,2048,0.033818500438614396,0.042537748476090195,0.01269955594350467,-0.03152059913986127,0.012689153799092266,0.16124220174539472,0.04566822982802332,-0.030943315241077476,-0.03925820977772344,-91.49818838728285
block_permute_512,cosine,wsd,spline_s0.01_shrink1_clip0.15,full,16454,0.05006672090519618,0.06238714343581524,0.017665670035263766,0.8716703357147499,0.020366072808032598,0.2422448850167611,0.010688112836616082,momentum_baseline,none,16454,0.03772038950173981,0.04727466039406645,0.013381652377841665,0.9263125221222073,0.02083323488154805,0.19079639100935175,0.04566822982802332,-0.012346331403456368,-0.015112483041748788,-32.73118747325477
block_permute_512,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_1000_10000,4501,0.04792252832471323,0.06001825839625774,0.015763223034276058,0.9201089208666424,0.004217593265974726,0.22804678474667384,0.00755991684224,momentum_baseline,none,4501,0.03326441592472226,0.04171065695453741,0.010977458082824266,0.9614143722790454,0.0054929906229494825,0.18717473933624573,0.0076273795741998995,-0.014658112399990965,-0.018307601441720327,-44.065443485201826
block_permute_512,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_10000_20000,5001,0.0499857950117392,0.06193004784696331,0.01775359439231119,-0.8973270064254679,0.02269102444123912,0.2422448850167611,0.007694363767662082,momentum_baseline,none,5001,0.03742600706816247,0.04692632628320789,0.013345149718597528,-0.08936262092406966,0.023379090570603552,0.19079639100935175,0.0032814745857896455,-0.012559787943576727,-0.015003721563755415,-33.55898458711369
block_permute_512,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_20000_30000,5001,0.05426447525797521,0.06721746984813833,0.019679794263610696,-0.9696495641422718,0.03607926407124649,0.2406081791235426,0.025374622076099307,momentum_baseline,none,5001,0.0436192102526355,0.053749528471638316,0.015873547603660113,-0.25942978375884795,0.035600683440698465,0.17018541155138633,0.0826127090682327,-0.010645265005339709,-0.013467941376500009,-24.404992533528308
block_permute_512,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_20000_27125,3563,0.0537902719698092,0.06667111324949725,0.01940689778451957,-1.6610303812690956,0.03519060859636154,0.2406081791235426,0.05042414962953279,momentum_baseline,none,3563,0.042761045187581975,0.05272824397735781,0.015476739415153028,-0.6644127558613102,0.03406169891142533,0.16587010553148218,0.02707568086042933,-0.011029226782227224,-0.01394286927213944,-25.792696913381732
block_permute_512,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_27126_30000,1438,0.055439430971282205,0.06855244483787215,0.020355962660691142,-1.271075472160763,0.03828112739323194,0.2223273756150821,0.025374622076099307,momentum_baseline,none,1438,0.0457455260570762,0.056200108179740284,0.01685673785098332,-0.5263705356798856,0.0394138975420894,0.17018541155138633,0.0826127090682327,-0.009693904914206006,-0.012352336658131867,-21.190935485387197
block_permute_512,cosine,wsd,spline_s0.01_shrink1_clip0.15,steps_27126_33906,3391,0.04909468598732987,0.061462623349633545,0.018222798599075614,-0.33263089423643777,0.0227832169232727,0.2223273756150821,0.010688112836616082,momentum_baseline,none,3391,0.03875375885797014,0.04864293911703619,0.014418538275770503,0.16530596920383311,0.02352986631881083,0.17018541155138633,0.04566822982802332,-0.010340927129359731,-0.012819684232597356,-26.683675168797222
