model_class,config,feature_set,step_template,ridge_alpha,event_shrink,step_shrink,residual_clip,train_full_mae,validation_full_mae,validation_tail_mae,validation_last2048_mae,validation_full_tail_score,validation_endpoint_abs_diff,step_smoothing,step_rolling_window,selected_by_811_full,selected_by_811_full_plus_tail
event_decay_only,event_tail_interactions_ridge0.01_shrink0.25_clip0.25,event_tail_interactions,none,0.01,0.25,,0.25,0.03230925859344756,0.039175405160961185,0.05110439035980325,0.04274360554175491,0.04346774079677255,0.07008971665013686,,,False,False
event_decay_only,drop_impulse_ridge1_shrink0.25_clip0.25,drop_impulse,none,1.0,0.25,,0.25,0.032336418492437284,0.03972188920490646,0.06128400409051277,0.043706267803840154,0.04698739939037509,0.057176165314016814,,,False,False
event_decay_only,drop_impulse_ridge0.01_shrink0.25_clip0.15,drop_impulse,none,0.01,0.25,,0.15,0.032336365267567335,0.040030111226889875,0.062779693667804,0.04902243248821378,0.048653450211428896,0.05662295301759768,,,False,False
event_decay_only,drop_impulse_ridge0.0001_shrink0.25_clip0.15,drop_impulse,none,0.0001,0.25,,0.15,0.032336364587213,0.04004769190092162,0.06286500076087684,0.049094358421999766,0.048702217863123815,0.05661536251685506,,,False,False
event_decay_only,drop_impulse_ridge1e-06_shrink0.25_clip0.15,drop_impulse,none,1e-06,0.25,,0.15,0.03233636458038398,0.04004786833378306,0.0628658568699061,0.04909508024448753,0.04870270727676086,0.05661528632945245,,,False,False
event_decay_only,event_history_ridge1_shrink0.5_clip0.15,event_history,none,1.0,0.5,,0.15,0.0323002944136022,0.040767804896660195,0.057322728492636824,0.036233586157832155,0.044827438227687574,0.06558387554255418,,,False,False
event_decay_only,event_history_ridge1_shrink0.5_clip0.25,event_history,none,1.0,0.5,,0.25,0.0323002944136022,0.040767804896660195,0.057322728492636824,0.036233586157832155,0.044827438227687574,0.06558387554255418,,,False,False
event_decay_only,drop_impulse_ridge10_shrink0.75_clip0.15,drop_impulse,none,10.0,0.75,,0.15,0.032337766694525934,0.04077487841431123,0.053060758440384874,0.04133932643446207,0.04457353202616349,0.058043692357804044,,,False,False
event_decay_only,event_history_ridge10_shrink1_clip0.15,event_history,none,10.0,1.0,,0.15,0.032296405251605834,0.041125119899860146,0.05563320553710212,0.0456362456586672,0.04637977074279415,0.028786649981695334,,,False,False
event_decay_only,event_history_ridge10_shrink1_clip0.25,event_history,none,10.0,1.0,,0.25,0.032296405251605834,0.041125119899860146,0.05563320553710212,0.0456362456586672,0.04637977074279415,0.028786649981695334,,,False,False
event_decay_only,drop_impulse_ridge10_shrink0.75_clip0.25,drop_impulse,none,10.0,0.75,,0.25,0.032337766694525934,0.04164575694444848,0.0572864839888597,0.04150006292271691,0.04630883625342553,0.058043692357804044,,,False,False
event_decay_only,drop_impulse_ridge0.01_shrink0.25_clip0.25,drop_impulse,none,0.01,0.25,,0.25,0.032336365267567335,0.04168110607231977,0.0707907432657702,0.049198447338957674,0.05191746548368248,0.05662295301759768,,,False,False
event_decay_only,drop_impulse_ridge0.0001_shrink0.25_clip0.25,drop_impulse,none,0.0001,0.25,,0.25,0.032336364587213,0.04170539572253696,0.07090860402860283,0.04927354501569729,0.051979988072988786,0.05661536251685506,,,False,False
event_decay_only,drop_impulse_ridge1e-06_shrink0.25_clip0.25,drop_impulse,none,1e-06,0.25,,0.25,0.03233636458038398,0.04170563833074203,0.07090978123733836,0.049274298664470834,0.051980613269466694,0.05661528632945245,,,False,False
event_decay_only,drop_impulse_ridge1_shrink0.5_clip0.15,drop_impulse,none,1.0,0.5,,0.15,0.03233570500287994,0.04232081866535111,0.07152122867674908,0.0562673565633062,0.053870249248361514,0.05600798875767188,,,False,False
event_decay_only,full_event_local_ridge10_shrink0.25_clip0.15,full_event_local,none,10.0,0.25,,0.15,0.032309275201457474,0.0427409007130418,0.06812555647335634,0.042192218266991384,0.05024656095192608,0.06057809668484193,,,False,False
event_decay_only,linear_endpoint_ridge1_shrink1_clip0.15,linear_endpoint,none,1.0,1.0,,0.15,0.03227936826730998,0.04279945750665334,0.034836789359784834,0.03408765941639142,0.03866829744454041,0.0646833661359647,,,False,False
event_decay_only,linear_endpoint_ridge1_shrink1_clip0.25,linear_endpoint,none,1.0,1.0,,0.25,0.03227936826730998,0.04279945750665334,0.034836789359784834,0.03408765941639142,0.03866829744454041,0.0646833661359647,,,False,False
event_decay_only,event_history_ridge10_shrink1.25_clip0.15,event_history,none,10.0,1.25,,0.15,0.03230494332963128,0.043542939281219176,0.06570251027126126,0.05356794790451205,0.05219581230289038,0.0213460230804432,,,False,False
event_decay_only,event_history_ridge10_shrink1.25_clip0.25,event_history,none,10.0,1.25,,0.25,0.03230494332963128,0.043542939281219176,0.06570251027126126,0.05356794790451205,0.05219581230289038,0.0213460230804432,,,False,False
event_decay_only,full_event_local_ridge10_shrink0.25_clip0.25,full_event_local,none,10.0,0.25,,0.25,0.032309275201457474,0.043659845604331136,0.07258451230976885,0.04229996315719797,0.05206526912653582,0.06057809668484193,,,False,False
