method,correction,feature_set,schedule,window,n,mae,rmse,mape,r2,max_abs_error,endpoint_abs_diff,residual_mean
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge1e-06_shrink1,wsd,steps_20000_30000,5001,0.043029427320780904,0.053124545882636195,0.015658299277324206,-0.2303115567666021,0.16926079511053116,0.08193578893415632,-0.0346488542011749
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge1e-06_shrink1.25,811,full,16454,0.03551348357945631,0.044568342148575905,0.012551133862032762,0.9365972218346295,0.18206223295000656,0.05892355566456198,-0.012043012977564967
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge1e-06_shrink1.25,811,steps_20000_30000,5001,0.03927772296830114,0.049116829268709764,0.014291896771462977,0.21300437224134705,0.16217377762412344,0.053719132531124814,-0.025850292275870473
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge1e-06_shrink1.25,cosine,full,16454,0.03235157888737517,0.040414643929043495,0.01148992064263865,0.9531081415292642,0.17768158658005984,0.041893658143964174,0.0004993853566545679
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge1e-06_shrink1.25,cosine,steps_20000_30000,5001,0.032069392209014835,0.04005265834402689,0.011826450166284756,0.22717504746096262,0.13679359086835952,0.054916991071701116,0.0026947669311339515
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge1e-06_shrink1.25,wsd,full,16454,0.03729444957627179,0.04676364849022472,0.013225335747295642,0.9278969507624606,0.18953188703325852,0.046270581518658815,-0.019638954849242926
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge1e-06_shrink1.25,wsd,steps_20000_30000,5001,0.04288440988509414,0.05296987565369193,0.015605353286053067,-0.22315796883581052,0.1690296887325471,0.08176658513119595,-0.03441094764195435
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge0.0001_shrink0.25,811,full,16454,0.03573007807304644,0.04484499405641408,0.012632237167807358,0.9358076506357355,0.18307379162912163,0.05845978353454795,-0.012977777838923218
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge0.0001_shrink0.25,811,steps_20000_30000,5001,0.03972278897762132,0.04962216200690215,0.014454974985308892,0.1967272436527968,0.16310131896008606,0.05429662124575385,-0.026755752235958878
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge0.0001_shrink0.25,cosine,full,16454,0.03234041382080042,0.04041195443530556,0.011489064288766438,0.9531143823940165,0.17649813579254348,0.04142815812183054,-0.00024105196238317415
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge0.0001_shrink0.25,cosine,steps_20000_30000,5001,0.032032703597732394,0.040016628525649384,0.011815400821279612,0.22856482880396933,0.13727956692060417,0.055401540314877984,0.0021437566891620947
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge0.0001_shrink0.25,wsd,full,16454,0.03763337468333166,0.04717039061426387,0.013349761225367303,0.9266372163129719,0.19054344571237358,0.04578871116402894,-0.020594338429891165
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge0.0001_shrink0.25,wsd,steps_20000_30000,5001,0.04347064790421534,0.0535923480781679,0.0158193356177907,-0.2520746225292527,0.16995422887266143,0.08244346328417462,-0.03536269576000817
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge0.0001_shrink0.5,811,full,16454,0.035674425672374506,0.04477407247246804,0.012611443899704733,0.9360105282697917,0.18282086863468905,0.05857573427471241,-0.012744057260394515
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge0.0001_shrink0.5,811,steps_20000_30000,5001,0.03961016373948217,0.04949469951218376,0.014413721146870673,0.20084861387960662,0.16286940491011626,0.05415223741760089,-0.026529359178395242
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge0.0001_shrink0.5,cosine,full,16454,0.032342324251131094,0.040411242126493364,0.011488972974854276,0.9531160352091164,0.17679403739391208,0.04154454083764669,-5.5923408277087844e-05
momentum_mpl_hybrid_decay,hybrid_decay,sat_s2_scale0.5_beta0.5_ridge0.0001_shrink0.5,cosine,steps_20000_30000,5001,0.03204128504041817,0.04002492361786081,0.011817945628782368,0.22824497231645313,0.1371580645522621,0.05528039469463897,0.0022815198869257994
