feature_set_family,feature_columns,scale,beta,ridge_alpha,shrink,coef,feature_set,validation_mae,validation_rmse,validation_r2,validation_endpoint_abs_diff,test_mae,test_rmse,test_r2,test_endpoint_abs_diff
sat_s2_tail,sat_s2;sat_tail,2.0,2.0,1e-06,1.0,0.00173417881194;0.00370470101774;-0.00563297895812,sat_s2_tail_scale2_beta2_ridge1e-06_shrink1,0.03737789240562323,0.04692510623773441,0.9297144806704567,0.048837208860099235,0.039910182991666786,0.04987010000209342,0.9179993424676524,0.03849389653546886
sat_s2_tail,sat_s2;sat_tail,5.0,0.5,1.0,1.25,0.00136083918676;0.00527625951383;-0.00754870309657,sat_s2_tail_scale5_beta0.5_ridge1_shrink1.25,0.03738966621805552,0.046942578816668634,0.9296621292526805,0.047347664856162375,0.03993513962200752,0.0499005907131061,0.9178990409770258,0.03704638414584638
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,0.5,1.0,0.0001,0.25,0.000692887902829;-0.127115892149;0.52033705166;-0.0569773139049,hybrid_decay_progress_scale0.5_beta1_ridge0.0001_shrink0.25,0.03742897243815217,0.04679046423288474,0.9301172418944469,0.09377320765768005,0.03764904164706617,0.04711180267142532,0.9268193435012012,0.07629620919779168
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,0.5,1.0,1e-06,0.25,0.000697446308114;-0.127493811995;0.52171574514;-0.0570847751104,hybrid_decay_progress_scale0.5_beta1_ridge1e-06_shrink0.25,0.037437209627501467,0.04680061075979911,0.93008693041204,0.09386414900952067,0.03765177494785524,0.047114728998982204,0.9268102520544498,0.07637459700194249
mpl_proxy,sat_s2;sat_drop_times_sat_tail,5.0,1.0,0.01,0.75,0.000466485049666;-0.0288455126016;0.0340393602468,mpl_proxy_scale5_beta1_ridge0.01_shrink0.75,0.037457748239762924,0.046751048658810836,0.9302349286458981,0.08889086112510514,0.03737907753422896,0.04680767926015797,0.927761108180252,0.06786975769601788
hybrid_decay_progress,sat_s2;sat_drop_times_sat_tail;sat_s2_times_progress,5.0,2.0,1.0,1.0,-0.000307096557415;0.0170452610716;-0.0173812766454;-0.000193504854408,hybrid_decay_progress_scale5_beta2_ridge1_shrink1,0.03746129988453264,0.047245031282964624,0.9287528312510891,0.037584419229199195,0.03887359206254234,0.04872827719030971,0.9217113200008034,0.03328939488434823
sat_s2_tail,sat_s2;sat_tail,5.0,1.0,1.0,1.0,0.00185891428931;0.0037779014983;-0.00604458328957,sat_s2_tail_scale5_beta1_ridge1_shrink1,0.03747181708146562,0.0470394605948807,0.9293714980122568,0.04963599682676678,0.03999341603568248,0.04996563329279047,0.9176848736365599,0.039317609118992625
sat_s2_tail,sat_s2;sat_tail,5.0,0.5,0.01,1.25,0.00143284722413;0.0054927360561;-0.00786986419038,sat_s2_tail_scale5_beta0.5_ridge0.01_shrink1.25,0.03749193503812355,0.04706852995784308,0.9292841772850522,0.046847588483824865,0.04006269373489695,0.0500489920781531,0.9174099881901939,0.03664744608300374
sat_s2_tail,sat_s2;sat_tail,5.0,0.5,0.0001,1.25,0.00143359795037;0.00549499275904;-0.00787321233038,sat_s2_tail_scale5_beta0.5_ridge0.0001_shrink1.25,0.037493009178581754,0.04706985357491649,0.9292802000209879,0.04684237469798358,0.040064029546164795,0.05005054572229197,0.9174048605153272,0.036643286853109025
sat_s2_tail,sat_s2;sat_tail,5.0,0.5,1e-06,1.25,0.00143360546082;0.00549501533565;-0.00787324582601,sat_s2_tail_scale5_beta0.5_ridge1e-06_shrink1.25,0.03749301992456279,0.047069866817812396,0.9292801602275741,0.046842322537915315,0.04006404290996782,0.05005056126601825,0.9174048092137311,0.036643245243102474
mpl_proxy,sat_s2;sat_drop_times_sat_tail,5.0,1.0,0.0001,0.75,0.000479603680361;-0.0292837709251;0.0345521212832,mpl_proxy_scale5_beta1_ridge0.0001_shrink0.75,0.03751123313304809,0.046816269949343736,0.9300401376397182,0.08934245543157937,0.03739021340602172,0.04681982828015113,0.9277236038369328,0.06819683192493953
mpl_proxy,sat_s2;sat_drop_times_sat_tail,5.0,2.0,1.0,1.0,-0.000264488556291;0.0169579397085;-0.0174676689839,mpl_proxy_scale5_beta2_ridge1_shrink1,0.03751144634803194,0.0473095431246904,0.9285581261571385,0.03730461473388358,0.03893067261888829,0.04879606554484488,0.9214933458567726,0.033051798114499764
mpl_proxy,sat_s2;sat_drop_times_sat_tail,5.0,1.0,1e-06,0.75,0.000479736870209;-0.0292882204378;0.0345573272006,mpl_proxy_scale5_beta1_ridge1e-06_shrink0.75,0.037511778843907884,0.046816936873201744,0.9300381443910593,0.08934703994164606,0.0373903275608322,0.046819953724251316,0.9277232165369379,0.06820015240880517
sat_s2_tail,sat_s2;sat_tail,5.0,1.0,0.01,1.0,0.00190323099512;0.00385398094848;-0.00616863720145,sat_s2_tail_scale5_beta1_ridge0.01_shrink1,0.037519882534188934,0.047098667422455276,0.9291935911589457,0.04944380326689268,0.04005331385354186,0.05003511301607464,0.9174557878323975,0.03917388772717034
sat_s2_tail,sat_s2;sat_tail,5.0,1.0,0.0001,1.0,0.00190368330929;0.00385475742758;-0.00616990333061,sat_s2_tail_scale5_beta1_ridge0.0001_shrink1,0.03752037508918904,0.04709927381539901,0.9291917678893951,0.0494418416197413,0.040053926160701206,0.05003582349769451,0.9174534436161694,0.039172420832059185
